Journal Name,Sinta URL,P-ISSN,E-ISSN,Subject Area,Affiliation,Accreditation,Scopus Indexed,Garuda Indexed,Impact,H5-index,Citations 5yr,Citations,Website URL
Journal of Applied Engineering and Technological Science.,https://sinta.kemdiktisaintek.go.id/journals/profile/8857,2715-6087,2715-6079,"Science, Engineering",Yayasan Pendidikan Riset dan Pengembangan Intelektual,S1,Yes,Yes,"3,62",26,2.66,2.725,https://journal.yrpipku.com/index.php/jaets
Geoplanning.,https://sinta.kemdiktisaintek.go.id/journals/profile/933,2355-6544,2355-6544,Science,Universitas Diponegoro,S1,Yes,Yes,"3,58",14,1.016,1.337,http://ejournal.undip.ac.id/index.php/geoplanning/
Al-Albab.,https://sinta.kemdiktisaintek.go.id/journals/profile/19,0216-6143,2502-8340,"Social, Religion",Institut Agama Islam Negeri Pontianak,S1,No,Yes,"3,50",13,710.0,972.0,http://jurnaliainpontianak.or.id/index.php/alalbab/index
Journal of Indonesian economy and business.,https://sinta.kemdiktisaintek.go.id/journals/profile/866,2085-8272,2338-5847,Economy,"Fakultas Ekonomika dan Bisnis, Universitas Gadjah Mada",S1,Yes,Yes,"3,33",40,10.964,15.609,https://journal.ugm.ac.id/v3/jieb/index
Jurnal Arbitrer,https://sinta.kemdiktisaintek.go.id/journals/profile/346,2339-1162,2550-1011,Education,Fakultas Ilmu Budaya Universitas Andalas,S1,Yes,Yes,"3,31",15,1.283,1.498,http://arbitrer.fib.unand.ac.id
Bulletin of Chemical Reaction Engineering & Catalysis,https://sinta.kemdiktisaintek.go.id/journals/profile/691,,1978-2993,Engineering & Computer Science,Masyarakat Katalis Indonesia - Indonesian Catalyst Society (MKICS),S1,Yes,Yes,"3,30",31,6.544,8.295,https://journal.bcrec.id/index.php/bcrec
Belitung Nursing Journal.,https://sinta.kemdiktisaintek.go.id/journals/profile/1630,2477-4073,2477-4073,Health,Belitung Raya Foundation,S1,Yes,Yes,"3,27",30,6.91,7.763,http://belitungraya.org/BRP/index.php/bnj
Cakrawala Pendidikan: jurnal ilmiah pendidikan.,https://sinta.kemdiktisaintek.go.id/journals/profile/703,0216-1370,2442-8620,Education,"Lembaga Penjaminan Mutu dan Pengembangan Pendidikan, Universitas Negeri Yogyakarta",S1,Yes,Yes,"3,22",70,34.142,52.444,https://journal.uny.ac.id/index.php/cp
Otoritas.,https://sinta.kemdiktisaintek.go.id/journals/profile/20,2088-3706,2502-9320,Social,"Program Studi Ilmu Pemerintahan, Universitas Muhammadiyah Makassar",S1,No,Yes,"3,22",18,2.183,2.691,http://journal.unismuh.ac.id/index.php/Otoritas/
Teosofi: Jurnal Tasawuf dan Pemikiran Islam.,https://sinta.kemdiktisaintek.go.id/journals/profile/768,2088-7957,2442-871X,"Social, Religion",Progam Studi Filsafat Agama Fakultas Ushuluddin dan Filsafat UIN Sunan Ampel Surabaya,S1,Yes,Yes,"3,17",17,1.645,2.259,http://jurnalfuf.uinsby.ac.id/index.php/teosofi
Millah,https://sinta.kemdiktisaintek.go.id/journals/profile/26,1412-0992,2527-922X,"Humanities, Art, Religion",Universitas Islam Indonesia,S1,Yes,Yes,"10,35",26,3.155,3.91,http://journal.uii.ac.id/Millah
Hasanuddin Law Review.,https://sinta.kemdiktisaintek.go.id/journals/profile/946,,2442-9899,Law,Fakultas Hukum Universitas Hassanudin,S1,Yes,Yes,"9,89",18,1.678,2.032,http://pasca.unhas.ac.id/ojs/index.php/halrev
Infinity.,https://sinta.kemdiktisaintek.go.id/journals/profile/1722,2460-9285,2460-9285,Education,Institut Keguruan dan Ilmu Pendidikan Siliwangi,S1,No,Yes,"9,45",38,6.163,8.419,http://e-journal.stkipsiliwangi.ac.id/index.php/infinity
Pedagogik.,https://sinta.kemdiktisaintek.go.id/journals/profile/4119,2354-7960,2528-5793,Education,Fakultas Agama Islam Universitas Nurul Jadid,S1,No,Yes,"8,93",29,3.499,4.236,https://ejournal.unuja.ac.id/index.php/pedagogik/index
Indonesian journal of electrical engineering and computer science,https://sinta.kemdiktisaintek.go.id/journals/profile/697,2502-4752,2502-4760,"Science, Engineering",Institute of Advanced Engineering and Science (IAES),S1,Yes,Yes,"8,40",65,31.181,37.25,http://ijeecs.iaescore.com
Qudus International Journal Of Islamic Studies.,https://sinta.kemdiktisaintek.go.id/journals/profile/1322,2355-1895,2476-9304,"Education, Religion","IAIN Kudus, Indonesia",S1,Yes,Yes,"8,13",19,1.263,1.304,http://journal.stainkudus.ac.id/index.php/QIJIS
International Journal of Education and Learning.,https://sinta.kemdiktisaintek.go.id/journals/profile/6910,,2684-9240,Education,Association for Scientific Computing Electronics and Engineering,S1,No,No,"7,96",16,1.46,1.492,http://pubs2.ascee.org/index.php/ijele
Al-Istinbath: jurnal hukum Islam,https://sinta.kemdiktisaintek.go.id/journals/profile/5026,2548-3374,2548-3382,Law,Institut Agama Islam Negeri Curup,S1,Yes,Yes,"7,74",20,1.626,1.697,http://journal.iaincurup.ac.id/index.php/alistinbath
Jurnal ilmiah Al-Syir'ah,https://sinta.kemdiktisaintek.go.id/journals/profile/4028,1693-4202,2528-0368,"Education, Social",Fakultas Syariah IAIN Manado,S1,Yes,Yes,"7,00",24,2.96,3.355,http://journal.iain-manado.ac.id/index.php/JIS/index
Jambe Law Journal.,https://sinta.kemdiktisaintek.go.id/journals/profile/6735,2598-7925,2598-795X,Law,"Fakultas Hukum, Universitas Jambi",S1,Yes,Yes,"7,00",8,235.0,250.0,http://jlj.unja.ac.id/index.php/home/index
Al-Jami'ah,https://sinta.kemdiktisaintek.go.id/journals/profile/685,0126-012X,2338-557X,Religion,Universitas Islam Negeri Sunan Kalijaga,S1,Yes,Yes,"2,73",38,6.213,8.684,http://www.aljamiah.or.id
Miqot: jurnal ilmu-ilmu keislaman,https://sinta.kemdiktisaintek.go.id/journals/profile/748,0852-0720,2502-3616,"Humanities, Art, Religion",UINSU PRESS,S1,Yes,Yes,"2,73",25,2.373,2.601,http://jurnalmiqotojs.uinsu.ac.id/index.php/jurnalmiqot/index
Mechanical Engineering for Society and Industry.,https://sinta.kemdiktisaintek.go.id/journals/profile/10818,,2798-5245,Engineering & Computer Science,Universitas Muhammadiyah Magelang,S1,Yes,Yes,"2,65",14,936.0,940.0,https://journal.unimma.ac.id/index.php/mesi
Squalen.,https://sinta.kemdiktisaintek.go.id/journals/profile/3405,2089-5690,2406-9272,"Science, Agriculture, Social",Balai Besar Riset Pengolahan Produk dan Bioteknologi Kelautan dan Perikanan (BBRPPBKP),S1,Yes,Yes,"2,65",18,1.486,1.864,https://www.bbp4b.litbang.kkp.go.id/squalen-bulletin/index.php/squalen/index
Journal of local government issues.,https://sinta.kemdiktisaintek.go.id/journals/profile/5600,2620-8091,2620-3812,General/Multidisciplinary,Universitas Muhammadiyah Malang,S1,No,Yes,"2,62",13,675.0,747.0,http://ejournal.umm.ac.id/index.php/LOGOS/index
Joiv.,https://sinta.kemdiktisaintek.go.id/journals/profile/4214,2549-9610,2549-9904,Science,Society of Visual Informatics,S1,Yes,Yes,"2,58",36,8.446,9.056,http://joiv.org/index.php/joiv
Jurnal Pengolahan Hasil Perikanan Indonesia.,https://sinta.kemdiktisaintek.go.id/journals/profile/787,2303-2111,2354-886X,Science,Institut Pertanian Bogor,S1,Yes,Yes,"2,56",40,9.699,13.591,http://journal.ipb.ac.id/index.php/jphpi
Jambura Journal of Biomathematics.,https://sinta.kemdiktisaintek.go.id/journals/profile/9360,,2723-0317,"Science, Education",Universitas Negeri Gorontalo,S1,Yes,Yes,"2,56",11,440.0,450.0,http://ejurnal.ung.ac.id/index.php/JJBM
Indonesian Journal of Pharmacy.,https://sinta.kemdiktisaintek.go.id/journals/profile/998,2338-9486,2338-9486,Health,Faculty of Pharmacy Universitas Gadjah Mada (UGM) Yogyakarta Indonesia in collaboration with IAI (Ikatan Apoteker Indonesia or Indonesian Pharmacist Association),S1,Yes,Yes,"2,55",23,3.562,6.191,http://indonesianjpharm.farmasi.ugm.ac.id/index.php/3
CommIT (Communication and Information Technology) Journal.,https://sinta.kemdiktisaintek.go.id/journals/profile/915,1979-2484,2460-7010,Science,Bina Nusantara University,S1,Yes,Yes,"2,49",22,2.271,2.952,https://journal.binus.ac.id/index.php/commit/index
Psikohumaniora.,https://sinta.kemdiktisaintek.go.id/journals/profile/185,2502-9363,2527-7456,"Health, Education, Social",Program Studi Psikologi Fakultas Psikologi dan Kesehatan Universitas Islam Negeri Walisongo Semarang,S1,Yes,Yes,"5,78",31,3.889,4.205,https://journal.walisongo.ac.id/index.php/Psikohumaniora/index
Ulul Albab.,https://sinta.kemdiktisaintek.go.id/journals/profile/5671,2597-6168,2597-6176,Law,Jurusan Syariah Fakultas Agama Islam Universitas Islam Sultan Agung (UNISSULA) Semarang,S1,No,Yes,"5,48",16,1.019,1.156,https://jurnal.unissula.ac.id/index.php/ua/index
Jurnal Media Hukum.,https://sinta.kemdiktisaintek.go.id/journals/profile/880,0854-8919,2503-1023,Law,Fakultas Hukum Universitas Muhammadiyah Yogyakarta,S1,No,Yes,"5,29",26,2.851,3.201,http://journal.umy.ac.id/index.php/jmh/index
Ulumuna.,https://sinta.kemdiktisaintek.go.id/journals/profile/9155,1411-3457,2775-2453,"Religion, Humanities, Education, Art, Social",Universitas Islam Negeri Mataram,S1,Yes,Yes,"5,03",27,3.246,4.217,https://ulumuna.or.id/index.php/ujis
Journal of Islamic Monetary Economics and Finance.,https://sinta.kemdiktisaintek.go.id/journals/profile/6126,,2460-6618,Religion,Bank Indonesia,S1,Yes,Yes,"5,00",43,6.703,7.316,http://www.jimf-bi.org/index.php/JIMF
The Indonesian Journal of Socio Legal Studies.,https://sinta.kemdiktisaintek.go.id/journals/profile/12647,,2808-2591,General/Multidisciplinary,Universitas Indonesia,S1,Yes,Yes,"4,88",10,324.0,327.0,https://scholarhub.ui.ac.id/ijsls
Law Reform,https://sinta.kemdiktisaintek.go.id/journals/profile/1990,1858-4810,2580-8508,Social,Universitas Diponegoro,S1,Yes,Yes,"4,81",31,3.745,4.54,https://ejournal.undip.ac.id/index.php/lawreform
Indonesian Journal of Applied Linguistics.,https://sinta.kemdiktisaintek.go.id/journals/profile/1099,2301-9468,2502-6747,Education,Universitas Pendidikan Indonesia,S1,Yes,Yes,"4,77",50,10.904,14.888,http://ejournal.upi.edu/index.php/IJAL
Sriwijaya law review.,https://sinta.kemdiktisaintek.go.id/journals/profile/1882,2541-5298,2541-6464,"Science, Social","Faculty of Law, Sriwijaya University",S1,Yes,Yes,"4,74",18,1.298,1.515,http://journal.fh.unsri.ac.id/index.php/sriwijayalawreview/issue/archive
Forum geografi.,https://sinta.kemdiktisaintek.go.id/journals/profile/16,0852-0682,2460-3945,Science,"Fakultas Geografi, Universitas Muhammadiyah Surakarta",S1,Yes,Yes,"4,68",23,2.707,3.795,http://journals.ums.ac.id/index.php/fg/issue/archive
Jurnal Pendidikan IPA Indonesia,https://sinta.kemdiktisaintek.go.id/journals/profile/671,2339-1286,2089-4392,Education,"Science Education Study Program, Faculty of Mathematics and Natural Sciences, Universitas Negeri Semarang",S1,Yes,Yes,"104,00",62,14.902,21.846,https://journal.unnes.ac.id/journals/jpii
International Journal of Electrical and Computer Engineering.,https://sinta.kemdiktisaintek.go.id/journals/profile/693,2088-8708,2722-2578,"Science, Engineering",Institute of Advanced Engineering and Science,S1,Yes,Yes,"26,00",60,31.624,50.297,http://ijece.iaescore.com/index.php/IJECE
Jurnal ilmiah ilmu terapan Universitas Jambi,https://sinta.kemdiktisaintek.go.id/journals/profile/4154,2580-2240,2580-2259,Education,LPPM Universitas Jambi,S1,Yes,Yes,"25,00",16,1.431,1.512,https://online-journal.unja.ac.id/index.php/JIITUJ/issue/archive
Jurnal Ilmiah Islam Futura.,https://sinta.kemdiktisaintek.go.id/journals/profile/963,2407-7542,2407-7542,"Humanities, Art, Religion",Center for Research and Community Service (LP2M) in cooperation with the Graduate Program of State Islamic University (UIN) Ar-Raniry Banda Aceh,S1,Yes,Yes,"24,00",31,4.462,5.251,https://jurnal.ar-raniry.ac.id/index.php/islamfutura
Nazhruna.,https://sinta.kemdiktisaintek.go.id/journals/profile/4882,2614-8013,2614-8013,Education,Universitas KH. Abdul Chalim,S1,Yes,Yes,"16,53",45,7.603,7.979,http://e-journal.ikhac.ac.id/index.php/NAZHRUNA
Jurnal pendidikan Islam.,https://sinta.kemdiktisaintek.go.id/journals/profile/760,2355-4339,2460-8149,Education,"The Faculty of Tarbiya and Teacher Training, Universitas Islam Negeri Sunan Gunung Djati Bandung Associated with Persatuan Sarjana Pendidikan Islam Indonesia (PSPII)",S1,Yes,Yes,"16,44",37,5.767,6.54,http://journal.uinsgd.ac.id/index.php/jpi
Aptisi Transactions on Technopreneurship,https://sinta.kemdiktisaintek.go.id/journals/profile/8190,2655-8807,2656-8888,General/Multidisciplinary,Pandawan Sejahtera Indonesia,S1,Yes,Yes,"15,66",45,6.162,6.282,https://att.aptisi.or.id/index.php/att
Journal of Islamic Law.,https://sinta.kemdiktisaintek.go.id/journals/profile/9792,2721-5032,2721-5040,"Religion, Economy, Humanities, Social",Institut Agama Islam Negeri Pontianak,S1,Yes,Yes,"14,81",22,1.216,1.238,http://e-journal.iainptk.ac.id/index.php/jil/index
Jurnal Ilmiah Peuradeun.,https://sinta.kemdiktisaintek.go.id/journals/profile/1038,2338-8617,2443-2067,"Humanities, Art, Social",SCAD Independent,S1,Yes,Yes,"13,81",30,5.063,6.904,https://journal.scadindependent.org/index.php/jipeuradeun
Samarah : jurnal hukum keluarga dan hukum Islam,https://sinta.kemdiktisaintek.go.id/journals/profile/4748,2547-3132,2549-3167,Law,"Islamic Family Law Department, Sharia and Law Faculty, Universitas Islam Negeri Ar-Raniry, Banda Aceh, Indonesia",S1,Yes,Yes,"13,37",35,5.841,5.99,https://jurnal.ar-raniry.ac.id/index.php/samarah/index
Caraka Tani.,https://sinta.kemdiktisaintek.go.id/journals/profile/3602,2613-9456,2599-2570,Agriculture,"Fakultas Pertanian, Universitas Sebelas Maret",S1,Yes,Yes,"3,15",25,3.451,4.219,http://jurnal.uns.ac.id/carakatani/
Jurnal civics.,https://sinta.kemdiktisaintek.go.id/journals/profile/1566,1829-5789,2541-1918,"Education, Social",Jurusan Pendidikan Kewarganegaraan dan Hukum Fakultas Ilmu Sosial Universitas Negeri Yogyakarta,S1,No,Yes,"3,12",30,4.223,4.732,https://journal.uny.ac.id/index.php/civics/index
Tasfiyah.,https://sinta.kemdiktisaintek.go.id/journals/profile/4644,2549-6905,2613-9863,Religion,Universitas Darussalam Gontor,S1,No,Yes,"3,11",16,1.047,1.112,https://ejournal.unida.gontor.ac.id/index.php/tasfiyah
Forest and Society.,https://sinta.kemdiktisaintek.go.id/journals/profile/1266,2549-4333,2549-4333,"Agriculture, Social",,S1,Yes,Yes,"3,09",29,3.252,3.717,http://journal.unhas.ac.id/index.php/fs/index
LLT journal.,https://sinta.kemdiktisaintek.go.id/journals/profile/390,1410-7201,2579-9533,"Humanities, Education, Art, Social","Program Studi Pendidikan Bahasa Inggris, Universitas Sanata Dharma",S1,Yes,Yes,"3,07",26,3.105,3.218,http://e-journal.usd.ac.id/index.php/LLT/index
Journal of ASEAN Studies.,https://sinta.kemdiktisaintek.go.id/journals/profile/2115,2338-1353,2338-1353,Social,"Faculty of Humanities,Binus University",S1,Yes,Yes,"2,96",21,1.554,1.854,https://journal.binus.ac.id/index.php/jas/index
Journal of governance and public policy,https://sinta.kemdiktisaintek.go.id/journals/profile/533,2355-8695,2549-7669,Social,"Magister Ilmu Pemerintahan, Universitas Muhammadiyah Yogyakarta (MIP-UMY)",S1,No,Yes,"2,96",24,2.126,2.435,https://journal.umy.ac.id/index.php/GPP/index
Automotive experiences.,https://sinta.kemdiktisaintek.go.id/journals/profile/5676,2615-6202,2615-6636,General/Multidisciplinary,Automotive Laboratory of Universitas Muhammadiyah Magelang in collaboration with Association of Indonesian Vocational Educators (AIVE),S1,Yes,Yes,"2,84",22,1.957,2.088,http://journal.unimma.ac.id/index.php/AutomotiveExperiences
Jurnal Sylva Lestari,https://sinta.kemdiktisaintek.go.id/journals/profile/1187,2339-0913,2549-5747,"Economy, Science, Agriculture",Universitas Lampung,S1,Yes,Yes,"2,79",36,6.103,7.867,http://jurnal.fp.unila.ac.id/index.php/JHT
IJAIN (International Journal of Advances in Intelligent Informatics),https://sinta.kemdiktisaintek.go.id/journals/profile/1017,2442-6571,2548-3161,Science,Universitas Ahmad Dahlan,S1,Yes,Yes,"2,76",23,2.344,2.879,http://ijain.org/index.php/IJAIN/index
Science and technology Indonesia,https://sinta.kemdiktisaintek.go.id/journals/profile/6056,2580-4405,2580-4391,Science,"Magister Program of Material Sciences, Graduate School of Universitas Sriwijaya",S1,Yes,Yes,"2,48",19,2.269,2.437,http://sciencetechindonesia.com/index.php/jsti
EduReligia,https://sinta.kemdiktisaintek.go.id/journals/profile/5234,2549-4821,2579-5694,Education,Universitas Nurul Jadid,S1,No,Yes,"2,47",22,3.435,3.665,https://ejournal.unuja.ac.id/index.php/edureligia/index
Jurnal Geografi,https://sinta.kemdiktisaintek.go.id/journals/profile/3757,2085-8167,2549-7057,General/Multidisciplinary,Jurusan Pendidikan Geografi Fakultas Ilmu Sosial Universitas Negeri Medan dan Ikatan Geograf Indonesia,S1,No,Yes,"2,43",21,1.734,1.842,http://jurnal.unimed.ac.id/2012/index.php/geo/editor
Jurnal administrasi kesehatan Indonesia,https://sinta.kemdiktisaintek.go.id/journals/profile/3636,2303-3592,2540-9301,Health,Universitas Airlangga,S1,Yes,Yes,"2,39",30,3.792,4.152,https://e-journal.unair.ac.id/JAKI/
Shirkah : journal of economics and business,https://sinta.kemdiktisaintek.go.id/journals/profile/79,2503-4235,2503-4243,Economy,"Faculty of Islamic Economics and Business (FEBI) Universitas Islam Negeri Raden Mas Said Surakarta, Indonesia",S1,No,Yes,"2,36",14,574.0,649.0,http://shirkah.or.id/new-ojs/index.php/home
EJGTA : Electronic Journal of Graph Theory and Applications,https://sinta.kemdiktisaintek.go.id/journals/profile/894,2338-2287,2338-2287,Engineering,Indonesian Combinatorial Society; Institut Teknologi Bandung; University of Newcastle Australia,S1,Yes,Yes,"2,35",13,856.0,1.007,http://www.ejgta.org/index.php/ejgta/index
Media Publikasi Promosi Kesehatan Indonesia,https://sinta.kemdiktisaintek.go.id/journals/profile/5932,2597-6052,2597-6052,Health,"Fakultas Kesehatan Masyarakat, Universitas Muhammadiyah Palu",S1,No,Yes,"2,32",29,6.065,6.224,http://jurnal.unismuhpalu.ac.id/index.php/MPPKI
Agraris: journal of agribusiness and rural development research,https://sinta.kemdiktisaintek.go.id/journals/profile/94,2407-814X,2527-9238,"Economy, Agriculture, Social",Universitas Muhammadiyah Yogyakarta,S1,Yes,Yes,"2,27",25,2.183,2.74,https://agraris.umy.ac.id/index.php/agraris
Buletin ekonomi moneter dan perbankan.,https://sinta.kemdiktisaintek.go.id/journals/profile/1103,2460-9196,2460-9196,Economics & Business,"Bank Indonesia Institute, Bank Indonesia",S1,Yes,Yes,"2,23",38,6.958,12.117,https://www.bmeb-bi.org/index.php/BEMP/
Teknomekanik.,https://sinta.kemdiktisaintek.go.id/journals/profile/7521,2621-9980,2621-8720,General/Multidisciplinary,Universitas Negeri Padang,S1,Yes,Yes,"2,19",8,364.0,403.0,http://teknomekanik.ppj.unp.ac.id/index.php/teknomekanik
IJRED (International Journal of Renewable Energy Development),https://sinta.kemdiktisaintek.go.id/journals/profile/918,2252-4940,2252-4940,Science,Jurusan Teknik Kimia Universitas Diponegoro,S1,Yes,Yes,"4,64",39,8.881,10.612,https://ijred.cbiore.id/index.php/ijred/index
JSP (Jurnal ilmu sosial dan ilmu politik),https://sinta.kemdiktisaintek.go.id/journals/profile/865,1410-4946,2502-7883,Social,"Fakultas Ilmu Sosial dan Ilmu Politik, Universitas Gadjah Mada",S1,Yes,Yes,"4,48",30,5.213,6.555,http://jurnal.ugm.ac.id/jsp
Ilmu kelautan.,https://sinta.kemdiktisaintek.go.id/journals/profile/783,0853-7291,2406-7598,Science,Departemen Ilmu Kelautan Universitas Diponegoro dan Himpunan Ahli Pengelolaan Pesisir Indonesia,S1,Yes,Yes,"4,25",31,4.696,7.26,http://ejournal.undip.ac.id/index.php/ijms/index
"Journal of tropical life science : international journal of theoretical, experimental, and applied life sciences",https://sinta.kemdiktisaintek.go.id/journals/profile/911,,2527-4376,"Agriculture, Social","Jurusan Biologi, Fakultas Matematika dan Ilmu Pengetahuan Alam, Universitas Brawijaya",S1,Yes,Yes,"4,20",19,2.164,3.196,http://jtrolis.ub.ac.id/index.php/jtrolis/index
Sinergi: jurnal ilmiah fakultas teknik.,https://sinta.kemdiktisaintek.go.id/journals/profile/5,1410-2331,2460-1217,Engineering,Universitas Mercu Buana,S1,Yes,Yes,"4,07",21,2.36,2.904,https://publikasi.mercubuana.ac.id/index.php/sinergi
Jurnal pendidikan matematika,https://sinta.kemdiktisaintek.go.id/journals/profile/1811,1978-0044,2549-1040,Education,Universitas Sriwijaya bekerja sama dengan Indonesian Mathematical Society (IndoMS),S1,Yes,Yes,"4,05",36,4.745,6.838,https://jpm.ejournal.unsri.ac.id/index.php/jpm
Petita.,https://sinta.kemdiktisaintek.go.id/journals/profile/10525,2502-8006,2549-8274,Law,Universitas Islam Negeri Ar-Raniry,S1,Yes,Yes,"4,04",15,1.048,1.167,http://petita.ar-raniry.ac.id/index.php/petita
Jurnal ius: kajian hukum dan keadilan,https://sinta.kemdiktisaintek.go.id/journals/profile/1298,2303-3827,2477-815X,Social,Magister Ilmu Hukum Universitas Mataram,S1,Yes,Yes,"4,04",26,3.704,4.293,http://jurnalius.ac.id/ojs/index.php/jurnalIUS
Journal of Engineering and Technological Sciences.,https://sinta.kemdiktisaintek.go.id/journals/profile/680,2337-5779,2338-5502,Engineering,ITB Journal Publisher,S1,Yes,Yes,"3,68",31,5.319,7.581,https://journals.itb.ac.id/index.php/jets/index
Studies in English language and education.,https://sinta.kemdiktisaintek.go.id/journals/profile/1826,2355-2794,2461-0275,Education,"FKIP Bahasa Inggris, Universitas Syiah Kuala",S1,Yes,Yes,"3,67",42,10.076,10.944,https://jurnal.usk.ac.id/SiELE
JURIS (Jurnal Ilmiah Syariah),https://sinta.kemdiktisaintek.go.id/journals/profile/4081,1412-6109,2580-2763,"Economy, Education, Social",Universitas Islam Negeri Mahmud Yunus Batusangkar,S1,Yes,Yes,"13,00",32,3.744,4.041,https://ejournal.uinmybatusangkar.ac.id/ojs/index.php/Juris
Volksgeist.,https://sinta.kemdiktisaintek.go.id/journals/profile/6367,2615-174X,2615-5648,Law,Fakultas Syariah UIN Profesor Kiai Haji Saifuddin Zuhri Purwokerto,S1,Yes,Yes,"12,31",22,2.163,2.258,http://ejournal.uinsaizu.ac.id/index.php/volksgeist/issue/archive
"Journal of Human Rights, Culture and Legal System.",https://sinta.kemdiktisaintek.go.id/journals/profile/10841,2807-2979,2807-2812,"Health, Social",Lembaga Contrarius Institute,S1,Yes,Yes,"12,27",27,2.21,2.226,https://www.jhcls.org/index.php/JHCLS
Journal of Indonesian Islam.,https://sinta.kemdiktisaintek.go.id/journals/profile/661,1978-6301,2355-6994,"Social, Religion",Lembaga Studi Agama dan Sosial (LSAS) dan Program Pascasarjana Universitas Islam Negeri (UIN) Sunan Ampel Surabaya,S1,Yes,Yes,"12,06",33,4.745,5.421,http://jiis.uinsby.ac.id/index.php/JIIs/index
Gadjah Mada International Journal of Business,https://sinta.kemdiktisaintek.go.id/journals/profile/665,1411-1128,2338-7238,Economy,"Magister Manajemen, Fakultas Ekonomika dan Bisnis, Universitas Gadjah Mada",S1,Yes,Yes,"11,86",74,21.779,36.213,https://jurnal.ugm.ac.id/gamaijb/index
Legality : jurnal ilmiah hukum,https://sinta.kemdiktisaintek.go.id/journals/profile/4607,0854-6509,2549-4600,Law,Fakultas Hukum Universitas Muhammadiyah Malang,S1,Yes,Yes,"10,93",29,2.922,3.259,http://ejournal.umm.ac.id/index.php/legality
Indonesian Journal of Halal Research.,https://sinta.kemdiktisaintek.go.id/journals/profile/6905,2656-3754,2657-0165,General/Multidisciplinary,Halal Center UIN Sunan Gunung Djati Bandung,S1,Yes,Yes,"10,63",17,1.011,1.055,https://journal.uinsgd.ac.id/index.php/ijhar/index
Journal on Mathematics Education.,https://sinta.kemdiktisaintek.go.id/journals/profile/2113,2407-0610,2407-0610,Education,Fakultas Keguruan dan Ilmu Pendidikan  Universitas Sriwijaya,S1,Yes,Yes,"10,60",62,13.139,16.974,https://jme.ejournal.unsri.ac.id/index.php/jme
Jurnal Akuntansi dan Keuangan.,https://sinta.kemdiktisaintek.go.id/journals/profile/890,1411-0288,2338-8137,Economy,Universitas Kristen Petra Surabaya,S1,No,Yes,"10,54",54,11.821,26.804,https://jurnalakuntansi.petra.ac.id
El-Usrah.,https://sinta.kemdiktisaintek.go.id/journals/profile/7487,,2620-8083,Law,Universitas Islam Negeri Ar-Raniry Banda Aceh,S1,Yes,Yes,"10,43",22,1.898,1.922,https://jurnal.ar-raniry.ac.id/index.php/usrah
Mazahib : jurnal pemikiran hukum Islam.,https://sinta.kemdiktisaintek.go.id/journals/profile/975,1829-9067,2460-6588,"Humanities, Education, Art, Social",Fakultas Syariah UIN Sultan Aji Muhammad Idris Samarinda,S1,Yes,Yes,"6,96",21,2.292,2.819,https://journal.uinsi.ac.id/index.php/mazahib
Journal of Robotics and Control (JRC).,https://sinta.kemdiktisaintek.go.id/journals/profile/8884,2715-5056,2715-5072,General/Multidisciplinary,Universitas Muhammadiyah Yogyakarta,S1,Yes,Yes,"6,62",41,8.83,9.128,https://journal.umy.ac.id/index.php/jrc/index
Jurnal pendidikan vokasi.,https://sinta.kemdiktisaintek.go.id/journals/profile/853,2088-2866,2476-9401,Education,Asosiasi Dosen dan Guru Vokasi Indonesia dan Program Pascasarjana UNY,S1,No,Yes,"6,60",44,9.44,13.865,http://journal.uny.ac.id/index.php/jpv
JOIN (Jurnal Online Informatika),https://sinta.kemdiktisaintek.go.id/journals/profile/1306,2528-1682,2527-9165,Science,"Jurusan Teknik Informatika, UIN Sunan Gunung Djati Bandung",S1,Yes,Yes,"6,60",25,2.863,2.927,https://join.if.uinsgd.ac.id/index.php/join
Metro Islamic Law Review,https://sinta.kemdiktisaintek.go.id/journals/profile/13372,,2986-528X,Law,Institut Agama Islam Negeri Metro Lampung,S1,No,Yes,"6,51",13,863.0,868.0,https://e-journal.metrouniv.ac.id/index.php/milrev
IAES International Journal of Artificial Intelligence,https://sinta.kemdiktisaintek.go.id/journals/profile/6731,2089-4872,2252-8938,"Science, Engineering",Institute of Advanced Engineering and Science,S1,Yes,Yes,"6,43",42,11.632,13.521,http://ijai.iaescore.com/index.php/IJAI
Al-Manahij,https://sinta.kemdiktisaintek.go.id/journals/profile/758,1978-6670,2579-4167,Education,Universitas Islam Negeri Profesor Kiai Haji Saifuddin Zuhri Purwokerto,S1,Yes,Yes,"6,29",22,2.423,2.585,https://ejournal.uinsaizu.ac.id/index.php/almanahij/index
Al-Ahkam: jurnal ilmu syari'ah dan hukum,https://sinta.kemdiktisaintek.go.id/journals/profile/492,2527-8169,2527-8150,Law,Fakultas Syari'ah UIN Raden Mas Said Surakarta,S1,No,Yes,"6,00",21,1.28,1.533,https://ejournal.uinsaid.ac.id/index.php/al-ahkam/
Al-Risalah: forum kajian hukum dan sosial kemasyarakatan,https://sinta.kemdiktisaintek.go.id/journals/profile/798,2540-9522,2540-9522,"Humanities, Education, Art, Social",Fakultas Syariah UIN Sulthan Thaha Saifuddin Jambi,S1,Yes,Yes,"5,91",17,1.696,1.966,http://e-journal.lp2m.uinjambi.ac.id/ojp/index.php/AL-RISALAH
