Journal Name,Sinta URL,P-ISSN,E-ISSN,Subject Area,Affiliation,Accreditation,Scopus Indexed,Garuda Indexed,Impact,H5-index,Citations 5yr,Citations,Website URL
Lutjanus.,https://sinta.kemdiktisaintek.go.id/journals/profile/10409,0853-7658,2721-3757,General/Multidisciplinary,Politeknik Pertanian Negeri Pangkajene Kepulauan,S5,No,Yes,"0,00",3,154.0,160.0,https://ppnp.e-journal.id/lutjanus_PPNP
Jurnal Ilmu Pendidikan.,https://sinta.kemdiktisaintek.go.id/journals/profile/14635,,2961-9556,Education,Gayaku Publisher,S5,No,Yes,"0,00",3,17.0,17.0,https://journal.bengkuluinstitute.com/index.php/JURIP
Jurnal ilmu kesehatan Makia,https://sinta.kemdiktisaintek.go.id/journals/profile/6601,2407-6309,2549-9327,Health,Lembaga Penelitian dan Pengabdian Masyarakat (LPPM) Institut Sains Teknologi dan Kesehatan Insan Cendekia Husada Bojonegoro,S5,No,Yes,"0,00",10,378.0,434.0,https://jurnal.istekicsadabjn.ac.id/index.php/jmakia/index
Jurnal Publikasi Manajemen Informatika.,https://sinta.kemdiktisaintek.go.id/journals/profile/13403,2808-9359,2808-9014,Economics & Business,Sekolah Tinggi Ilmu Ekonomi Trianandra,S5,No,Yes,"0,00",7,236.0,239.0,http://ejurnal.stie-trianandra.ac.id/index.php/jupumi
Ahkam.,https://sinta.kemdiktisaintek.go.id/journals/profile/5917,2303-1905,2549-1075,Law,Fakultas Syariah dan Ilmu Hukum,S5,No,Yes,"0,00",17,864.0,1.182,http://ejournal.iain-tulungagung.ac.id/index.php/ahkam/
Jurnal Peluang.,https://sinta.kemdiktisaintek.go.id/journals/profile/12832,2302-5158,2685-1539,General/Multidisciplinary,Universitas Syiah Kuala,S5,No,Yes,"0,00",0,0.0,0.0,http://jurnal.unsyiah.ac.id/peluang
Jurnal Riset Teknologi Pangan Dan Hasil Pertanian.,https://sinta.kemdiktisaintek.go.id/journals/profile/10285,2745-4096,2776-9089,Agriculture,Universitas Katolik Santo Thomas Medan,S5,No,Yes,"0,00",6,120.0,121.0,http://ejournal.ust.ac.id/index.php/retipa
Jurnal Ilmu Politik Dan Pemerintahan.,https://sinta.kemdiktisaintek.go.id/journals/profile/11191,2301-8453,2776-6284,Social Science & Humanities,Universitas Siliwangi,S5,No,Yes,"0,00",5,54.0,62.0,https://jurnal.unsil.ac.id/index.php/jipp
Journal of Sustainable Community Development.,https://sinta.kemdiktisaintek.go.id/journals/profile/8416,2715-2080,2747-0040,General/Multidisciplinary,Sekolah Tinggi Manajemen IPMI,S5,No,Yes,"0,00",3,64.0,66.0,http://jscd.ipmi.ac.id/index.php/jscd
Jurnal E-bussiness Institut Teknologi dan Bisnis Muhammadiyah Polewali Mandar.,https://sinta.kemdiktisaintek.go.id/journals/profile/12811,,2807-6354,Economics & Business,Institut Teknologi dan Bisnis Muhammadiyah Polewali Mandar,S5,No,Yes,"0,00",0,0.0,0.0,https://journal.itbmpolman.ac.id/index.php/e-bussiness
Didactica.,https://sinta.kemdiktisaintek.go.id/journals/profile/13453,2776-5210,2775-1627,Education,Actual Insight,S5,No,Yes,"0,00",7,115.0,115.0,https://journal.actual-insight.com/index.php/didactica
Jurnal Tugas Akhir Pendidikan Sosiologi.,https://sinta.kemdiktisaintek.go.id/journals/profile/15012,,2776-2963,"Education, Social",Universitas Lambung Mangkurat,S5,No,Yes,"0,00",2,19.0,19.0,https://ppjp.ulm.ac.id/journals/index.php/jtamps
Wacana.,https://sinta.kemdiktisaintek.go.id/journals/profile/10692,,2746-4652,General/Multidisciplinary,Universitas Bengkulu,S5,No,Yes,"0,00",5,77.0,84.0,https://ejournal.unib.ac.id/index.php/jwacana
El-Jaudah.,https://sinta.kemdiktisaintek.go.id/journals/profile/12053,2722-2675,2722-3434,Religion,Sekolah Tinggi Agama Islam Negeri Mandailing Natal,S5,No,Yes,"0,00",5,111.0,116.0,https://jurnal.stain-madina.ac.id/index.php/ej
Jurnal Manajemen.,https://sinta.kemdiktisaintek.go.id/journals/profile/3734,0285-6911,2528-1518,"Economy, Education",Universitas Mulawarman,S5,No,Yes,"0,00",33,4.339,4.403,http://journal.feb.unmul.ac.id/index.php/JURNALMANAJEMEN
Requisitoire,https://sinta.kemdiktisaintek.go.id/journals/profile/12691,2085-7233,2986-3988,Law,Central Research Institute for Agriculture,S5,No,Yes,"0,00",0,0.0,0.0,https://ejournal.cria.or.id/index.php/relae
Jurnal Jaring SainTek.,https://sinta.kemdiktisaintek.go.id/journals/profile/9505,,2656-9485,"Science, Engineering",Universitas Bhayangkara Jakarta Raya,S5,No,Yes,"0,00",7,217.0,226.0,http://ejurnal.ubharajaya.ac.id/index.php/jaring-saintek
Frame: Bingkai,https://sinta.kemdiktisaintek.go.id/journals/profile/597,2252-682X,2252-682X,Education,Universitas Negeri Semarang,S5,No,Yes,"0,00",2,20.0,26.0,https://journal.unnes.ac.id/journals/scaffolding
